iter	Passed	Remaining
0	354	354241
1	556	277524
2	801	266503
3	1106	275552
4	1371	272952
5	1639	271541
6	1909	270915
7	2153	267072
8	2429	267499
9	2685	265873
10	2933	263782
11	3190	262660
12	3465	263144
13	3704	260895
14	3940	258738
15	4172	256594
16	4411	255114
17	4652	253811
18	4892	252585
19	5126	251199
20	5357	249751
21	5605	249191
22	5853	248645
23	6142	249810
24	6490	253147
25	6724	251920
26	6957	250722
27	7181	249286
28	7450	249479
29	7778	251498
30	8075	252424
31	8434	255132
32	8666	253957
33	8922	253499
34	9172	252909
35	9430	252519
36	9663	251515
37	9898	250578
38	10166	250509
39	10410	249862
40	10660	249341
41	10917	249020
42	11170	248599
43	11403	247756
44	11706	248447
45	11969	248233
46	12212	247624
47	12451	246946
48	12678	246057
49	12902	245156
50	13135	244415
51	13355	243483
52	13583	242701
53	13811	241957
54	14055	241497
55	14290	240900
56	14511	240074
57	14746	239497
58	15004	239302
59	15239	238751
60	15466	238084
61	15698	237510
62	15923	236837
63	16173	236542
64	16422	236230
65	16666	235850
66	16934	235821
67	17169	235327
68	17416	235002
69	17649	234490
70	17872	233848
71	18113	233461
72	18346	232971
73	18579	232494
74	18801	231884
75	19061	231742
76	19292	231260
77	19527	230829
78	19750	230260
79	19969	229650
80	20192	229101
81	20408	228477
82	20639	228029
83	20860	227480
84	21079	226913
85	21302	226403
86	21516	225800
87	21744	225349
88	21967	224862
89	22191	224376
90	22434	224095
91	22661	223657
92	22889	223231
93	23121	222853
94	23344	222391
95	23577	222023
96	23809	221646
97	24039	221265
98	24266	220851
99	24501	220513
100	24753	220333
101	25045	220495
102	25325	220556
103	25609	220631
104	25870	220518
105	26177	220781
106	26512	221268
107	26952	222603
108	27267	222895
109	27571	223080
110	27889	223369
111	28142	223132
112	28377	222751
113	28662	222761
114	28938	222699
115	29185	222412
116	29412	221975
117	29680	221852
118	29941	221667
119	30183	221346
120	30434	221089
121	30664	220685
122	30988	220950
123	31275	220948
124	31509	220567
125	31733	220120
126	31957	219679
127	32184	219254
128	32414	218861
129	32663	218597
130	32889	218172
131	33170	218122
132	33474	218212
133	33716	217898
134	33943	217488
135	34185	217176
136	34409	216753
137	34653	216460
138	34879	216055
139	35123	215759
140	35368	215473
141	35629	215284
142	35879	215023
143	36157	214937
144	36410	214696
145	36643	214337
146	36909	214176
147	37159	213920
148	37526	214329
149	37811	214263
150	38097	214203
151	38376	214101
152	38668	214067
153	38952	213987
154	39210	213759
155	39441	213386
156	39675	213034
