Sample;Endopterygota;Otomorpha;Euteleosteomorpha;Paraneoptera;Polyneoptera
SRR15595321;0;0;0;0;0
SRR15595249;0;0;0;0;0
SRR22402358;0;0;0;0;0
SRR22402261;0;1;0;0;0
SRR22402276;4;0;2;0;0
SRR22402269;6;0;0;0;0
SRR15595311;0;0;1;0;0
SRR15595256;0;0;0;0;0
SRR22402370;0;0;0;0;0
SRR15595269;0;0;0;0;0
SRR22402364;96;0;0;0;0
SRR15595246;0;1;0;0;0
SRR22402346;0;0;0;0;0
SRR22402298;0;0;0;0;0
SRR22402270;4;0;0;1;0
SRR22402296;0;0;75;3;0
SRR22402302;3;0;1;1;0
SRR22402288;0;0;0;0;0
SRR22402284;4;0;0;0;0
SRR22402382;0;0;0;0;0
SRR15595271;0;0;0;0;0
SRR22402329;0;0;0;0;0
SRR15595247;0;0;0;0;0
SRR22402348;0;0;1;0;0
SRR22402283;5;0;1;0;0
SRR15595342;0;0;0;0;0
SRR15595289;0;0;0;0;0
SRR22402278;145;0;0;0;0
SRR22402265;0;0;0;0;0
SRR22402281;0;0;0;0;0
SRR15595324;0;0;0;0;0
SRR22402280;0;0;7;0;0
SRR22402275;0;0;0;0;0
SRR15595337;0;0;0;0;0
SRR15595251;0;0;0;0;0
SRR22402285;0;1;0;0;0
SRR15595352;0;0;0;0;0
SRR22402254;0;0;12;0;0
SRR22402347;0;0;0;0;0
SRR22402277;10;0;64;0;0
SRR22402292;0;0;0;0;0
SRR22402374;8;0;0;0;0
SRR22402377;43;0;26;0;0
SRR22402310;0;0;5;0;0
SRR22402319;0;0;0;0;0
SRR22402264;0;0;0;0;0
SRR22402381;2;0;0;0;0
SRR15595279;0;5;25;0;0
SRR22402368;0;0;0;0;0
SRR22402369;4;0;0;0;0
SRR15595345;0;0;0;0;0
SRR22402300;0;0;0;0;0
SRR15595245;0;1;0;0;0
SRR22402271;18;0;0;0;0
SRR22402353;19;0;0;0;0
SRR15595317;0;0;0;0;0
SRR15595293;0;0;0;0;0
SRR22402356;0;0;0;0;0
SRR22402332;0;0;0;0;0
SRR22402295;43;0;0;0;0
SRR15595303;1;0;0;0;0
SRR22402379;0;0;0;0;0
SRR22402304;0;0;0;0;0
SRR22402350;4;0;0;0;0
SRR22402268;0;0;0;0;0
SRR22402297;0;0;2;0;0
SRR22402317;0;0;22;0;0
SRR15595353;0;0;0;0;0
SRR15595257;0;0;12;0;0
SRR15595248;0;0;0;0;0
SRR15595305;0;0;0;0;0
SRR22402349;0;0;0;0;0
SRR22402273;3;0;0;0;0
SRR15595329;0;0;0;0;0
SRR22402314;27;0;64;0;0
SRR22402321;0;0;2;0;0
SRR22402322;0;0;6;0;0
SRR22402259;0;0;0;0;0
SRR15595336;0;0;0;0;0
SRR22402352;1;0;0;0;0
SRR15595253;173;1;0;0;0
SRR22402263;0;0;0;0;0
SRR22402312;0;0;0;0;0
SRR22402335;0;0;0;0;0
SRR22402384;0;0;0;0;0
SRR22402267;7;0;0;0;0
SRR22402293;0;0;10;0;0
SRR15595255;0;0;0;0;0
SRR15595335;0;0;0;0;0
SRR22402371;0;0;0;0;0
SRR22402309;1;0;0;0;0
SRR22402344;0;57;4;0;0
SRR22402306;0;0;0;0;0
SRR15595267;3;1;0;0;0
