Sample;Neognathae;Teleostei;Neoptera;Selachii;Euheterodonta
SRR15595321;0;0;0;0;0
SRR15595249;0;0;0;0;0
SRR22402358;0;0;0;0;0
SRR22402261;1;7;0;0;0
SRR22402276;5;3;5;0;0
SRR22402269;17;0;6;0;0
SRR15595311;0;2;0;0;0
SRR15595256;0;0;0;0;0
SRR22402370;0;0;0;0;0
SRR15595269;9;0;0;0;0
SRR22402364;0;0;97;0;0
SRR15595246;0;6;0;0;0
SRR22402346;7;0;0;0;0
SRR22402298;0;37;0;0;0
SRR22402270;0;4;6;0;0
SRR22402296;0;76;4;0;0
SRR22402302;0;1;4;0;0
SRR22402288;10;0;0;0;0
SRR22402284;0;0;4;0;0
SRR22402382;0;0;0;0;0
SRR15595271;0;2;0;0;0
SRR22402329;0;0;0;0;0
SRR15595247;0;0;0;0;0
SRR22402348;0;1;0;0;0
SRR22402283;15;2;5;0;0
SRR15595342;0;0;0;0;0
SRR15595289;0;0;0;0;0
SRR22402278;16;0;148;0;0
SRR22402265;0;0;0;0;0
SRR22402281;12;0;0;0;0
SRR15595324;0;0;0;0;0
SRR22402280;13;8;0;0;0
SRR22402275;2;0;0;0;0
SRR15595337;0;0;0;0;0
SRR15595251;0;0;0;0;0
SRR22402285;0;4;0;3;0
SRR15595352;0;0;0;0;0
SRR22402254;5;23;0;0;0
SRR22402347;0;0;0;0;0
SRR22402277;16;82;12;0;0
SRR22402292;4;0;0;0;0
SRR22402374;0;0;8;0;0
SRR22402377;15;51;47;0;0
SRR22402310;0;9;0;0;0
SRR22402319;0;0;0;0;0
SRR22402264;0;0;0;0;0
SRR22402381;1;0;2;0;0
SRR15595279;0;32;0;0;0
SRR22402368;0;1;0;0;0
SRR22402369;0;0;4;0;0
SRR15595345;0;0;0;0;0
SRR22402300;0;0;0;0;0
SRR15595245;0;5;0;0;0
SRR22402271;13;0;18;0;0
SRR22402353;11;0;20;0;0
SRR15595317;0;0;0;0;0
SRR15595293;0;1;0;0;0
SRR22402356;0;0;0;0;0
SRR22402332;4;1;0;0;0
SRR22402295;0;0;59;0;0
SRR15595303;0;0;1;0;0
SRR22402379;0;0;0;0;0
SRR22402304;1;0;0;0;0
SRR22402350;2;0;4;0;0
SRR22402268;0;0;0;0;0
SRR22402297;10;2;0;0;0
SRR22402317;0;23;0;0;0
SRR15595353;0;0;0;0;0
SRR15595257;0;16;0;0;0
SRR15595248;0;0;0;0;0
SRR15595305;0;0;0;0;0
SRR22402349;0;0;0;0;0
SRR22402273;0;0;3;0;0
SRR15595329;0;0;0;0;0
SRR22402314;7;67;28;0;0
SRR22402321;0;42;0;0;0
SRR22402322;0;11;0;0;0
SRR22402259;5;0;0;0;0
SRR15595336;0;0;0;0;0
SRR22402352;1;0;1;0;0
SRR15595253;0;5;173;0;0
SRR22402263;2;0;0;0;0
SRR22402312;7;0;0;0;0
SRR22402335;48;0;0;0;0
SRR22402384;1;0;0;0;0
SRR22402267;0;0;11;0;0
SRR22402293;3;10;0;0;0
SRR15595255;0;0;0;0;0
SRR15595335;0;0;0;0;0
SRR22402371;0;0;0;0;0
SRR22402309;2;0;2;6;0
SRR22402344;0;62;0;0;0
SRR22402306;4;0;0;0;0
SRR15595267;0;1;3;0;0
SRR22402367;4;0;0;0;0
