Sample;Simiiformes;Aculeata;Serpentes;Pecora;Panagrolaimomorpha;Cicadomorpha;Cetacea;Muscomorpha;Culicomorpha;Talitrida;Parasitoida;Astacidea;Tarsiiformes;Neolepidoptera;Aphidomorpha;Bibionomorpha;Acrididea;Lemuriformes;Gekkota;Pentatomomorpha
SRR15595321;23897960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402358;4005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402261;13496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402276;8166;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402269;18673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595311;23747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595256;20365809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;16795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595269;4535;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
SRR22402364;15617;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595246;1895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402346;4225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402298;1484137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402270;12012;0;0;169;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0
SRR22402296;38096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
SRR22402302;8674;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0
SRR22402288;34289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402284;78965;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
SRR22402382;96412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
SRR15595271;1154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402329;9027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595247;7254693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402348;4464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402283;134493;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595342;7570033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595289;24467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402278;157333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402265;379502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402281;106605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595324;20739283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402280;23065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402275;32866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595337;7765151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595251;6802886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402285;36586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595352;6443309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402254;33454;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
SRR22402347;8397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402277;58410;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402292;3889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402374;13175;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402377;153671;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402310;2254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402319;12640;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
SRR22402264;524258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402381;101932;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595279;3595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402368;5056;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402369;65292;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
SRR15595345;8426441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402300;1598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595245;5806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402271;126103;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
SRR22402353;28592;0;0;38;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595317;5553665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595293;30891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402356;14099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402332;77303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402295;14049;0;0;24;0;0;0;2;23;0;0;0;0;0;0;0;0;2;0;0
SRR15595303;173;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
SRR22402379;26768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402304;29564;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402350;9833;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402268;152658;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402297;34831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402317;1928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595353;6602410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595257;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595248;7541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595305;591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402349;3708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402273;196429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595329;4827940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402314;4783;0;0;11;0;0;0;15;0;0;3;0;0;0;0;0;0;0;0;0
SRR22402321;4535;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
SRR22402322;44482;0;0;492;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402259;57639;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595336;17237130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402352;12771;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595253;1685;0;0;0;0;0;0;173;0;2;0;0;0;0;0;0;0;0;0;0
SRR22402263;18970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402312;13258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402335;4905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402384;7840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402267;47503;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402293;29210;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595255;547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595335;14078598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402371;10535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402309;8352;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402344;84217;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402306;35943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595267;9881;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402367;17104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595347;6125699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595254;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595339;12669992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595277;418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402355;133515;0;0;0;0;1;1;0;0;0;0;0;6;0;0;0;0;0;0;0
SRR22402313;310519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402365;6318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402342;1394;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402289;203569;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595315;18059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595295;1479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402343;128603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
