Sample;Decapoda;Diptera;Primates;Rosales;Solanales;Tubulidentata;Salmoniformes;Asterales;Rodentia;Sapindales;Apiales;Carnivora;Zingiberales;Brassicales;Fagales;Testudines;Gobiiformes;Malpighiales;Poales;Accipitriformes;Eurotiales;Artiodactyla;Comatulida;Arecales;Hymenoptera;Asparagales;Cypriniformes;Ostreida;Squamata;Fabales;Macroscelidea;Malvales;Amphipoda;Lamiales;Vitales;Cucurbitales;Acipenseriformes;Ceratodontiformes;Ranunculales;Caryophyllales;Siphonaptera;Chiroptera;Passeriformes;Mycosphaerellales;Galliformes;Diprotodontia;Dermoptera;Xylariales;Helotiales;Hemiptera;Ixodida;Lepidoptera;Hypocreales;Venerida;Rajiformes;Perissodactyla;Ericales;Pelecaniformes;Neuroptera;Proteales;Mugiliformes;Eulipotyphla;Didelphimorphia;Orthoptera;Phthiraptera;Myrtales;Characiformes;Kurtiformes;Cuculiformes;Gymnophiona;Psittaciformes;Rhynchobdellida;Siluriformes;Gruiformes;Strigeidida;Beloniformes;Scandentia;Microbiotheria;Octopoda;Anura;Chaetothyriales;Araneae;Diaporthales;Apodiformes;Polypteriformes;Cichliformes;Lamniformes;Carcharhiniformes;Pilosa;Anseriformes;Columbiformes;Apusomonadida;Thiotrichales;Mycoplasmoidales;Burkholderiales;Synergistales;Chromatiales;Pseudomonadales;Spirochaetales;Deferribacterales;Methylococcales;Pelagibacterales;Alteromonadales;Kosmotogales;Sphingomonadales;Oceanospirillales;Nevskiales;Endomicrobiales;Vibrionales;Acidobacteriales;Enterobacterales;Cellvibrionales;Sneathiellales;Moraxellales;Aquificales;Cardiobacteriales;Parvularculales;Thermodesulfovibrionales;Hyphomicrobiales;Legionellales;Xanthomonadales;Bryobacterales;Rhodothalassiales;Kordiimonadales;Rickettsiales;Acidithiobacillales;Petrotogales;Hydrogenophilales;Thermotogales;Thermodesulfobacteriales;Pasteurellales;Orbales;Rhodocyclales;Nitrosomonadales;Maricaulales;Brachyspirales;Rhodospirillales;Emcibacterales;Blastocatellales;Rhodobacterales;Fusobacteriales;Leptospirales;Desulfurobacteriales;Micropepsales;Aeromonadales;Coprothermobacterales;Hyphomonadales;Holosporales;Caulobacterales;Thermoplasmatales;Thermoanaerobaculales;Neisseriales;Nitrospirales;Bdellovibrionales;Salinisphaerales;Chrysiogenales;Magnetococcales;Silvanigrellales;Acanthopleuribacterales;Holophagales;Bacteriovoracales;Calditrichales;Mesoaciditogales;Kangiellales;Vicinamibacterales;Mariprofundales;Brevinematales;Iodidimonadales;Immundisolibacterales;Thermotomaculales;Methanomassiliicoccales;Elusimicrobiales;Acidiferrobacterales;Arenicellales;Dictyoglomales;Diplomonadida;Methanonatronarchaeales;Oligoflexales;Ferrovales;Kiloniellales;Thermococcales;Micrococcales;Tubulavirales;Actinomycetales;Entomoplasmatales;Erysipelotrichales;Campylobacterales;Isosphaerales;Acidimicrobiales;Bifidobacteriales;Pleurocapsales;Bacillales;Crassvirales;Thermoanaerobacterales;Petitvirales;Sulfolobales;Eubacteriales;Corynebacteriales;Desulfuromonadales;Propionibacteriales;Geodermatophilales;Micromonosporales;Myxococcales;Glycomycetales;Streptomycetales;Desulfovibrionales;Herpesvirales;Syntrophorhabdales;Lactobacillales;Armatimonadales;Tissierellales;Haloplasmatales;Nautiliales;Coriobacteriales;Caudovirales;Picornavirales;Frankiales;Nostocales;Streptosporangiales;Thermogemmatisporales;Caldilineales;Deinococcales;Bacteroidetes Order II. Incertae sedis;Victivallales;Opitutales;Pseudanabaenales;Rubrobacterales;Acholeplasmatales;Synechococcales;Verrucomicrobiales;Haloferacales;Limnochordales;Gemmatales;Halanaerobiales;Chloroflexales;Durnavirales;Thermales;Desulfobacterales;Vampirovibrionales;Candidatus Borkfalkiales;Fibrobacterales;Actinopolysporales;Solirubrobacterales;Veillonellales;Anaerolineales;Natrialbales;Selenomonadales;Jiangellales;Halobacteriales;Kineosporiales;Pirellulales;Catenulisporales;Mycoplasmatales;Ktedonobacterales;Longimicrobiales;Chlamydiales;Pseudonocardiales;Anaeroplasmatales;Thermosediminibacterales;Methanobacteriales;Cremevirales;Nitrospinales;Acidaminococcales;Gemmatimonadales;Imitervirales;Puniceicoccales;Fimbriimonadales;Parachlamydiales;Syntrophobacterales;Herpetosiphonales;Motilibacterales;Cirlivirales;Planctomycetales;Eggerthellales;Desulfarculales;Chroococcidiopsidales;Ardenticatenales;Sedimentisphaerales;Chthonomonadales;Ortervirales;Amarillovirales;Vinavirales;Kiritimatiellales;Syntrophales;Chitinivibrionales;Desulfuribacillales;Nidovirales;Thermolithobacterales;Natranaerobiales;Dehalococcoidales;Chitinispirillales;Methanosarcinales;Methanomicrobiales;Phycisphaerales;Bradymonadales;Kalamavirales;Desulfurellales;Euzebyales;Zurhausenvirales;Nitriliruptorales;Cryptosporangiales;Lentisphaerales;Candidatus Nanopelagicales;Piccovirales;Ghabrivirales;Gaiellales;Methanococcales;Caldisericales;Thermoproteales;Acidilobales;Algavirales;Terrimicrobiales;Thermoleophilales;Chitovirales;Egicoccales;Trueperales;Geplafuvirales;Tolivirales;Chthoniobacterales;Tichowtungiales;Culicoidibacterales;Sepolyvirales;Candidatus Cryosericales;Spirulinales;Thermomicrobiales;Primavirales;Tepidiformales;Tepidisphaerales;Oligosphaerales;Sporichthyales;Kallotenuales;Egibacterales;Thermoflexales;Nakamurellales;Rowavirales;Mindivirales;Oscillatoriales;Bacteroidales;Chlorobiales;Chroococcales;Marinilabiliales;Cytophagales;Gloeobacterales;Candidatus Nanoperiomorbales;Sphingobacteriales;Ignavibacteriales;Rhodothermales;Flavobacteriales;Candidatus Nanosynbacterales;Chitinophagales;Saprospirales;Opalinata;Candidatus Saccharimonadales;Sphaerobacterales;Balneolales;Candidatus Nanogingivales;Haemosporida;Candidatus Saccharimonales;Bunyavirales;Candidatus Sulfidibacteriales;Dictyosteliales
SRR15595321;0;0;23987280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;6457;0;0;0;20;0;0;16;0;0;0;154;0;9773;0;0;0;0;0;0;0;21;0;3;0;0;0;0;0;0;0;0;0;22;0;0;0;0;2;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;1;22;0;0;42;0;10120;0;0;0;104;904;3111;0;0;0;0;0;0;109;0;1;0;973;0;0;0;0;18;0;0;0;0;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;0;0;319;0;0;0;0;0;123;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1852;98;19;4817;53;1;1;10;5;0;135;41;0;0;68;6;85516;2;0;0;0;0;0;0;337;9;110;2;0;0;1;1;4;0;26;0;140;0;2;9;27;3;72;0;8;142;107;5;0;3;28;1;1;0;13;0;1;95;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;711;0;6181;6;96423;105;0;3;1601947;0;1092;0;65;5;69;2401589;971;44;129;0;45;35;1;130;2364;0;0;202910;0;70;0;0;381200;159;0;4;12;32;0;0;43;0;459;1;0;2;2;20;96206;0;10;0;37;2;0;44;2;0;0;17;0;1;275089;9;0;202;0;0;0;2;0;1;2;0;0;19;0;83;31;0;0;1829;0;0;0;0;0;1;0;0;0;0;46670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;73;0;0;0;0;0;4;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1659861;0;0;3;39;0;0;15;3;3;52;0;45;0;0;0;0;0;0;0;6;0;0;0
SRR22402358;5;0;4015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151111;81;3;23;6;0;0;0;2;0;10;5;0;0;1;2;169956;0;0;1078;0;0;0;0;55;1;1;0;0;0;1;0;0;0;14;0;7094;0;1;0;0;0;8;0;0;8;202;0;1;0;12;0;0;0;2;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;43;373;1577;1;23429;314;0;0;68580;0;421;4560;34;5;0;5847417;49;2;45;0;18;2;0;39;0;0;0;8446;3;136;0;0;94221;124282;0;0;17;5;0;2;4;1;0;0;4;0;0;1;0;0;0;0;0;0;0;0;2;0;0;6;0;0;4700;3;0;435;0;3;5;0;0;1;0;0;0;1;0;0;0;0;0;362007;0;0;0;0;0;0;0;0;0;0;20213;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;114;0;0;4;12;0;45;0;1;0;0;0;0;0;0;0;0;0;0;0
SRR22402261;4;0;13529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2207;102376;26;905;450;1;466;2;4;0;178;44;0;1;6;9;38818;342;0;158;9;2;0;0;7398;3;371;0;0;0;546;0;0;0;15;0;544;0;7;54;0;6;1404;0;0;2045;82;9;0;0;15;0;0;629;9;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;789;2537;949;4;31514;206;9;1;244;4;1834;2974;29;4054;0;8991424;359;30;123;0;112;117;1;277;163;0;0;7845;0;1205;0;0;5909;464206;0;1;0;76;10;0;49;3;71428;1;0;10;1;11;618380;0;10;0;2;0;5;0;4;0;148260;14;0;0;269882;19;0;680;0;9;8;3;3;10;0;0;0;59;1;4;0;0;0;108;0;0;0;0;0;0;0;0;17;0;76031;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;287;0;0;14;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0
SRR22402276;0;2;8184;0;0;0;0;0;0;0;0;15;0;0;0;0;0;11;5;0;9;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;32;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;21;2;1043744;298;23;2337;243;3;59;83;29;1;136;72;1;0;117;25;15895;3;0;213;1;78;0;0;540;1;103;0;0;0;0;5;174;1;143;0;8685;0;16;11;1;104;151;1;0;239;2444;0;1;0;58;2;0;0;0;0;0;239;0;0;0;0;0;0;0;0;5;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;870;4500;10063;1;426105;988;0;1;1359632;0;4271;10377;195;306;0;48828272;545;61;524;7;24;97;9;180;13163;0;0;261152;0;5753;0;0;464893;1527231;0;0;185;107;0;2;28;2;0;0;44;3;2;7;1184;0;1;2;36;0;0;21;34;0;4;11;0;0;1140541;0;0;349;0;0;45;3;0;15;0;3;1;9;1;4;0;0;0;705;0;0;0;0;0;0;0;0;0;1;435108;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;93280093;2;14;0;219;0;0;0;0;0;0;159;113;0;0;0;0;0;0;1;0;0;0;0
SRR22402269;17;0;18720;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;291953;221;139;437;54;26;9;1;3;3;291;36;0;0;24;2;86653;2;0;2090;0;7;0;0;831;1;199;0;0;0;13;3;11;0;33;1;1414;0;15;8;0;322;160;0;0;300;1068;37;0;0;39;1;0;0;4;0;0;206;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936;11155;1970;144;67106;958;0;0;1612526;0;3794;59024;103;342;0;13906487;523;45;320;1;86;28;0;541;111683;0;0;80409;0;2498;0;0;311125;588538;0;6;47;56;0;9;54;1;94025;0;4;1;77;13;1580;0;2;0;51;0;20;10;96;0;293;73;0;0;301306;97;0;306;0;0;3;2;0;51;0;2;0;119;0;8;5056;0;0;644474;0;0;0;0;0;0;0;0;0;0;47719;14;0;0;15;1;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;4;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18567417;0;2;1;102;0;0;0;0;0;225;761;0;0;0;127;0;0;43;0;0;0;1;0
SRR15595311;0;0;23898;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;283;0;0;0;1;7272;0;0;0;427;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;4582;6;2;1789;10;0;2;0;24;2;73;9;0;0;992;0;343741;9;0;0;0;0;0;0;46;7;299;0;0;0;4;0;0;0;11;0;2157;1;14;1;4;1;12;0;0;22;18;2;1;0;922;0;1;0;5;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2446;0;21352;3;478945;150;0;0;1000569;0;841;0;20;81;54;1801337;2689;3;1401;1;1;2;0;60;11;0;0;36213;0;421;0;0;462689;833;0;0;0;8;0;2;4;0;0;0;0;1;6;12;96;3;1;0;1;0;0;2;0;0;0;4;0;0;20915;1;0;47;1;0;0;0;0;7;0;0;0;2;1;1;2628;0;0;151379;0;0;0;0;1;0;0;0;4;0;34984;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;540236;0;0;0;15;0;0;0;0;0;0;147;48;0;0;0;0;0;0;0;117;0;0;0
SRR15595256;0;0;20428588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;0;0;5740;0;0;0;11;0;0;35;0;0;0;81;0;11993;0;0;0;0;0;0;0;55;0;4;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;3;0;6;11;0;0;121;0;7986;0;0;0;139;1035;2163;0;19;0;0;0;0;222;0;1;0;881;0;0;0;0;84;0;0;0;0;258;0;0;0;0;0;0;0;0;0;0;6;0;0;7;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;0;0;16842;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182691;17834;131;688;80;0;1;0;17;0;340;116;1;3;12;13;542323;2;0;461;12;220;0;0;834;0;208;71;0;0;6;0;1;0;15;0;21784;1;7;0;71;0;255;1;0;499;31;0;0;0;61;0;12;0;28;0;0;737;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3140;16631;3597;1;43777;29;0;14;1670;0;2671;35903;40;428;0;11399185;612;37;109;0;90;128;0;684;196475;0;0;608348;0;74;0;1;57046;391738;0;16;17;171;0;1;62;5;9;5;4;1;0;5;512971;0;4;0;7;0;8;10;16;0;32159;14;0;23;37376;4;0;427;0;74;26;5;0;3;0;8;0;109;1;1;0;0;0;267;0;0;0;0;1;8;0;0;0;0;78181;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;49;162;0;0;31;0;0;49;397;6;1;0;0;0;3;0;0;0;0;0;0
SRR15595269;0;0;4561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;552;0;0;32;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;575;2;3;1173;4;6;0;0;3;0;87;0;0;0;4;2;28541;0;0;0;0;0;0;0;43;2;135;0;0;0;0;0;0;0;10;0;2172;1;0;0;0;4;11;0;2;18;179;0;1;0;4;1;0;0;1;0;0;23;0;0;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1081;0;24579;0;127522;75;0;2;4809521;0;2491;0;8;79;90;4327400;4291;1;400;2;9;2;0;297;2674;0;0;110327;0;530;0;0;2770;86;0;1;7;10;0;0;11;0;0;0;0;1;0;0;370;26;1;0;3;0;0;0;0;0;0;1;0;0;354901;0;0;36;1;0;1;0;0;7;0;0;0;6;1;1;59;0;0;72;0;0;0;0;0;0;0;0;0;0;469632;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;10;0;5;0;0;0;0;0;0;0;112;0;0;0
