Sample;Thermotogae;Thermodesulfobacteria;Acidobacteria;Fusobacteria;Synergistetes;Euryarchaeota;Spirochaetes;Coprothermobacterota;Proteobacteria;Dictyoglomi;Deferribacteres;Elusimicrobia;Nitrospirae;Chrysiogenetes;Aquificae;Candidatus Thermoplasmatota;Calditrichaeota;Pisuviricota;Chlamydiae;Streptophyta;Fibrobacteres;Gemmatimonadetes;Phixviricota;Uroviricota;Armatimonadetes;Tenericutes;Deinococcus-Thermus;Kiritimatiellaeota;Chloroflexi;Actinobacteria;Verrucomicrobia;Planctomycetes;Hofneiviricota;Cressdnaviricota;Firmicutes;Artverviricota;Lentisphaerae;Crenarchaeota;Taleaviricota;Nitrospinae;Nucleocytoviricota;Chlorophyta;Caldiserica;Preplasmiviricota;Peploviricota;Fornicata;Cossaviricota;Kitrinoviricota;Evosea;Candidatus Cryosericota;Negarnaviricota;Duplornaviricota;Bacteroidetes;Ignavibacteriae;Cyanobacteria;Balneolaeota;Chlorobi;Candidatus Saccharibacteria;Rhodothermaeota;Oomycota;Candidatus Melainabacteria;Apicomplexa;Ciliophora;Porifera;Ascomycota;Basidiomycota;Cnidaria
SRR15595321;0;0;0;0;0;17;2;0;24001;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;4552;0;0;0;0;14118;0;0;104;0;0;0;0;0;0;1;0;0;0;0;0;0;0;951;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;30;0;22;107;98;104;62;1;113061;0;1;0;0;0;0;0;1;0;0;8;17;0;5;159;1;12;90;0;17;2069552;96208;12;0;0;3127259;0;459;69;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1667555;3;36;0;0;7;3;0;0;0;0;0;0;0;0
SRR22402358;14;0;5;202;81;4;6;0;357336;0;0;0;0;0;1;0;0;0;0;12;6;0;5;129104;5;2;4;0;5;187797;2;0;373;0;6499040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14516297;12;24;0;3;25;0;0;0;0;0;0;0;0;0
SRR22402261;15;0;13;82;102376;23;465;0;90104;0;1;1;0;0;9;0;0;5;0;23;14;0;4054;467346;5;22;49;0;29;89662;618398;18;2537;66;9919815;0;71428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17028107;0;25;0;0;55;0;0;0;0;0;0;2;0;0
SRR22402276;318;0;27;2444;298;56;347;2;1099994;0;3;0;0;0;2;0;0;0;1;42;11;3;306;1538490;0;124;52;0;14;2286876;1187;7;4500;285;52591346;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;93392537;0;312;0;2;181;0;0;0;1;0;0;11;0;0
SRR22402269;47;1;5;1068;221;5087;413;1;512029;0;26;0;0;0;0;0;0;20;0;0;73;2;342;750640;2;323;192;0;106;1990303;1604;18;11155;3;15598062;0;94025;0;0;0;0;0;0;0;0;0;270;0;0;0;0;0;18596737;0;102;0;0;1055;0;0;0;0;0;0;0;11;0
SRR15595311;13;0;1;18;6;2631;13;0;399961;0;0;0;0;0;1;0;0;0;1;8336;4;0;81;833;0;20;9;0;5;1548934;96;0;0;4;2583140;0;0;54;0;0;0;0;0;0;0;0;8;0;0;0;0;0;540702;0;24;0;0;283;0;0;0;0;0;0;6224;0;0
SRR15595256;0;0;0;0;0;8;0;0;24826;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;3880;6;7;0;0;11473;2;0;139;0;0;0;0;0;0;1;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;16;0;92;31;17834;146;80;0;1092253;0;0;3;0;0;12;0;0;8;1;109;14;8;428;430983;4;6;77;0;6;155658;512992;6;16631;2;12746903;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;12421061;0;40;3;15;470;0;0;0;0;0;0;0;0;0
SRR15595269;10;0;6;179;2;158;8;1;46018;0;6;0;0;3;1;0;0;0;0;591;1;0;79;86;3;9;13;0;2;5339047;370;2;0;0;5039706;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;488132;0;13;0;0;207;0;0;0;0;0;0;18140;0;0
SRR22402364;41;0;27;1087;2486;45;416;0;260384;0;0;87;0;5;9;0;0;6;2;29;42;0;399;547950;6;1015;254;0;8;382443;1482734;14;4145;48;12932640;0;70600;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;21322163;10;307;0;2;262;4;0;0;0;0;0;0;0;0
SRR15595246;41;1;27;62;492;618;108;2;150568;0;0;1;0;0;2;0;0;0;13;228;12;17;0;5340;3;59;113;0;50;1295073;619;31;11;0;6611239;0;27;466;0;0;0;0;0;0;0;0;35;0;0;0;1;0;2692129;4;77;0;3;94;3;0;0;0;0;0;23;0;0
SRR22402346;51;0;18;3847;71;8;54;0;232964;0;0;0;0;7;13;0;0;4;1;12;62;2;2750;525769;0;15;57;0;36;115404;25433;3;830;0;9470553;0;19958;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;19109634;0;39;0;2;56;0;0;1;0;0;0;0;0;0
