Sample;Petrosaviidae;Pterygota;Autobranchia;Neopterygii;Dothideomycetidae;Eumalacostraca;Chondrostei;Dipnomorpha;Acari;Testudinata;Elasmobranchii;Hypocreomycetidae;Xylariomycetidae;Sordariomycetidae;Hirudinea;Neomphalina;Coleoidea;Digenea;Oscillatoriophycideae;Sphaerobacteridae;Heteroscleromorpha
SRR15595321;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402358;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402261;0;0;0;7;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402276;5;5;0;3;0;0;0;32;0;0;0;0;0;0;0;0;0;0;19;0;0
SRR22402269;0;6;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR15595311;7572;0;427;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
SRR15595256;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595269;552;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402364;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0
SRR15595246;90;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
SRR22402346;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
SRR22402298;25;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0
SRR22402270;6;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0
SRR22402296;26;4;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0
SRR22402302;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
SRR22402288;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0
SRR22402284;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402382;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
SRR15595271;219;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
SRR22402329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0
SRR15595247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402348;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402283;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
SRR15595342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595289;175;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402278;32;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0
SRR22402265;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0
