Sample;Ostariophysi
SRR15595321;0
SRR15595249;0
SRR22402358;0
SRR22402261;1
SRR22402276;0
SRR22402269;0
SRR15595311;0
SRR15595256;0
SRR22402370;0
SRR15595269;0
SRR22402364;0
SRR15595246;1
SRR22402346;0
SRR22402298;0
SRR22402270;0
SRR22402296;0
SRR22402302;0
SRR22402288;0
SRR22402284;0
SRR22402382;0
SRR15595271;0
SRR22402329;0
SRR15595247;0
SRR22402348;0
SRR22402283;0
SRR15595342;0
SRR15595289;0
SRR22402278;0
SRR22402265;0
SRR22402281;0
SRR15595324;0
SRR22402280;0
SRR22402275;0
SRR15595337;0
SRR15595251;0
SRR22402285;1
SRR15595352;0
SRR22402254;0
SRR22402347;0
SRR22402277;0
SRR22402292;0
SRR22402374;0
SRR22402377;0
SRR22402310;0
SRR22402319;0
SRR22402264;0
SRR22402381;0
SRR15595279;5
SRR22402368;0
SRR22402369;0
SRR15595345;0
SRR22402300;0
SRR15595245;1
SRR22402271;0
SRR22402353;0
SRR15595317;0
SRR15595293;0
SRR22402356;0
SRR22402332;0
SRR22402295;0
SRR15595303;0
SRR22402379;0
SRR22402304;0
SRR22402350;0
SRR22402268;0
SRR22402297;0
SRR22402317;0
SRR15595353;0
SRR15595257;0
SRR15595248;0
SRR15595305;0
SRR22402349;0
SRR22402273;0
SRR15595329;0
SRR22402314;0
SRR22402321;0
SRR22402322;0
SRR22402259;0
SRR15595336;0
SRR22402352;0
SRR15595253;1
SRR22402263;0
SRR22402312;0
SRR22402335;0
SRR22402384;0
SRR22402267;0
SRR22402293;0
SRR15595255;0
SRR15595335;0
SRR22402371;0
SRR22402309;0
SRR22402344;57
SRR22402306;0
SRR15595267;1
SRR22402367;0
SRR15595347;0
SRR15595254;0
SRR15595339;0
SRR15595277;1
SRR22402355;0
SRR22402313;0
SRR22402365;0
SRR22402342;0
SRR22402289;0
SRR15595315;1
SRR15595295;0
SRR22402343;0
SRR22402320;0
SRR15595351;0
SRR15595244;1
SRR22402326;0
SRR22402282;0
SRR22402303;0
SRR22402354;0
SRR22402380;0
SRR22402378;0
SRR22402301;0
SRR22402333;0
SRR15595259;1
SRR22402256;0
SRR22402272;0
SRR22402260;0
SRR22402372;0
SRR15595332;0
SRR15595349;0
SRR22402324;0
SRR22402279;2
SRR15595273;1
SRR22402286;0
SRR15595331;0
SRR15595291;0
SRR15595330;0
SRR22402383;0
SRR22402262;0
SRR22402316;4
SRR22402361;0
SRR22402266;0
SRR22402331;0
SRR22402311;0
SRR15595343;0
SRR15595252;0
SRR15595344;0
SRR22402337;0
SRR15595346;0
SRR15595297;0
SRR22402376;0
SRR22402345;0
SRR22402257;0
SRR15595326;0
SRR22402338;0
SRR15595265;0
SRR15595309;0
SRR15595281;0
SRR22402307;0
SRR22402318;0
SRR22402323;3
SRR15595263;0
SRR22402299;0
SRR22402336;0
SRR15595338;0
SRR22402290;0
SRR15595283;2
SRR22402305;0
SRR15595350;1
SRR22402341;0
SRR22402255;0
SRR22402359;0
SRR15595301;1
SRR22402287;0
SRR22402325;0
SRR15595250;1
SRR15595285;0
SRR22402258;0
SRR15595348;0
SRR22402339;1
SRR22402340;0
SRR22402375;0
SRR22402385;0
SRR22402274;0
SRR22402330;0
SRR22402327;0
SRR15595340;0
SRR22402308;0
SRR22402360;0
SRR15595261;0
SRR15595319;0
SRR15595313;0
SRR15595307;0
SRR15595341;0
SRR22402291;0
SRR15595333;0
SRR15595320;0
SRR22402315;0
SRR22402363;0
SRR22402328;0
SRR22402366;0
SRR15595323;0
SRR15595275;0
SRR22402351;0
SRR15595287;0
SRR15595334;0
SRR22402362;0
SRR22402357;0
SRR22402334;0
SRR15595325;0
SRR22402373;0
SRR15595322;0
SRR15595328;0
SRR22402294;0
SRR15595318;0
SRR15595327;0
SRR15595299;0
