Sample;Glycine subgen. Soja;Drosophila;Callithrix;Zeugodacus;Mus;Musca;Sophophora;Culex;Ceratitis;Pyrobombus;Xenopus;Solanum subgen. Lycopersicon;Aspergillus subgen. Nidulantes
SRR15595321;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;0;0;0;0;118;0;0;0;0;0;0;0;0
SRR22402358;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402261;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402276;0;0;0;0;0;0;0;0;0;0;0;0;1
SRR22402269;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595311;0;0;5;0;0;0;0;0;0;0;0;0;0
SRR15595256;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595269;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402364;0;1;0;0;0;0;0;0;0;0;0;0;0
SRR15595246;0;0;0;0;134;0;0;0;0;0;0;0;0
SRR22402346;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402298;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402270;0;0;0;0;0;0;0;0;3;0;0;0;0
SRR22402296;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402302;0;0;0;0;0;0;1;0;0;0;0;0;0
SRR22402288;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402284;0;0;0;0;0;0;0;3;0;0;0;0;0
SRR22402382;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595271;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402329;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595247;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402348;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402283;0;0;0;0;0;0;0;0;0;0;0;27;0
SRR15595342;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595289;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402278;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402265;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402281;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595324;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402280;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402275;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595337;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595251;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402285;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595352;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402254;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402347;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402277;0;0;0;0;0;0;1;0;0;0;0;0;0
SRR22402292;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402374;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402377;0;0;7;0;0;0;0;0;0;0;0;0;0
SRR22402310;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402319;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402264;0;0;21;0;0;0;0;0;0;0;0;0;0
SRR22402381;0;0;3;0;0;0;1;0;0;0;0;0;0
SRR15595279;0;0;0;0;290;0;0;0;0;0;0;0;0
SRR22402368;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402369;0;0;0;0;0;0;0;3;0;0;0;0;0
SRR15595345;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402300;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595245;0;0;0;0;318;0;0;0;0;0;0;0;0
SRR22402271;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402353;0;0;0;0;0;0;2;0;0;0;0;0;0
SRR15595317;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595293;0;0;3;0;1;0;0;0;0;0;0;0;0
SRR22402356;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402332;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402295;0;0;0;0;0;0;0;23;0;0;0;0;0
SRR15595303;25;0;0;0;50;0;0;0;0;0;0;0;0
SRR22402379;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402304;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402350;0;0;0;0;0;0;0;0;1;0;0;0;0
SRR22402268;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402297;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402317;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595353;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595257;0;0;0;0;43;0;0;0;0;0;0;0;0
SRR15595248;1;0;0;0;116;0;0;0;0;0;0;0;0
SRR15595305;0;0;0;0;163;0;0;0;0;0;0;0;0
SRR22402349;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402273;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595329;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402314;0;0;0;2;33;0;0;0;9;0;0;0;0
