Sample;Dikarya
SRR15595321;0
SRR15595249;0
SRR22402358;0
SRR22402261;2
SRR22402276;13
SRR22402269;12
SRR15595311;6225
SRR15595256;0
SRR22402370;0
SRR15595269;18140
SRR22402364;0
SRR15595246;23
SRR22402346;0
SRR22402298;0
SRR22402270;0
SRR22402296;0
SRR22402302;15
SRR22402288;0
SRR22402284;24
SRR22402382;0
SRR15595271;47
SRR22402329;0
SRR15595247;0
SRR22402348;4
SRR22402283;36
SRR15595342;0
SRR15595289;16
SRR22402278;164
SRR22402265;0
SRR22402281;10
SRR15595324;0
SRR22402280;1694
SRR22402275;0
SRR15595337;0
SRR15595251;0
SRR22402285;12
SRR15595352;0
SRR22402254;0
SRR22402347;0
SRR22402277;147
SRR22402292;0
SRR22402374;55
SRR22402377;17
SRR22402310;12
SRR22402319;199
SRR22402264;22
SRR22402381;12
SRR15595279;28
SRR22402368;0
SRR22402369;23
SRR15595345;0
SRR22402300;0
SRR15595245;0
SRR22402271;747
SRR22402353;183
SRR15595317;2
SRR15595293;0
SRR22402356;0
SRR22402332;0
SRR22402295;0
SRR15595303;0
SRR22402379;42
SRR22402304;0
SRR22402350;9
SRR22402268;4233
SRR22402297;0
SRR22402317;0
SRR15595353;0
SRR15595257;0
SRR15595248;0
SRR15595305;46
SRR22402349;0
SRR22402273;0
SRR15595329;0
SRR22402314;0
SRR22402321;0
SRR22402322;530
SRR22402259;10
SRR15595336;0
SRR22402352;0
SRR15595253;42942
SRR22402263;0
SRR22402312;0
SRR22402335;0
SRR22402384;0
SRR22402267;120
SRR22402293;0
SRR15595255;73
SRR15595335;0
SRR22402371;6
SRR22402309;60
SRR22402344;5
SRR22402306;6
SRR15595267;27
SRR22402367;0
SRR15595347;0
SRR15595254;1138
SRR15595339;0
SRR15595277;157
SRR22402355;0
SRR22402313;80
SRR22402365;0
SRR22402342;0
SRR22402289;0
SRR15595315;0
SRR15595295;4
SRR22402343;0
SRR22402320;0
SRR15595351;0
SRR15595244;0
SRR22402326;0
SRR22402282;34
SRR22402303;125
SRR22402354;309
SRR22402380;2063
SRR22402378;34
SRR22402301;0
SRR22402333;36
SRR15595259;28119
SRR22402256;0
SRR22402272;0
SRR22402260;0
SRR22402372;124
SRR15595332;0
SRR15595349;0
SRR22402324;0
SRR22402279;1
SRR15595273;8974
SRR22402286;0
SRR15595331;0
SRR15595291;6
SRR15595330;0
SRR22402383;2216
SRR22402262;23
SRR22402316;0
SRR22402361;22
SRR22402266;0
SRR22402331;0
SRR22402311;0
SRR15595343;0
SRR15595252;0
SRR15595344;0
SRR22402337;0
SRR15595346;0
SRR15595297;230
SRR22402376;0
SRR22402345;0
SRR22402257;14
SRR15595326;0
SRR22402338;23
SRR15595265;163
SRR15595309;0
SRR15595281;0
SRR22402307;0
SRR22402318;0
SRR22402323;0
SRR15595263;0
SRR22402299;0
SRR22402336;0
SRR15595338;0
SRR22402290;0
SRR15595283;99
SRR22402305;33
SRR15595350;0
SRR22402341;0
SRR22402255;0
SRR22402359;0
SRR15595301;3
SRR22402287;194
SRR22402325;266
SRR15595250;57
SRR15595285;98
SRR22402258;0
SRR15595348;0
SRR22402339;0
SRR22402340;462
SRR22402375;15
SRR22402385;0
SRR22402274;9
SRR22402330;0
SRR22402327;0
SRR15595340;0
SRR22402308;0
SRR22402360;0
SRR15595261;0
SRR15595319;0
SRR15595313;2
SRR15595307;10332
SRR15595341;127
SRR22402291;0
SRR15595333;0
SRR15595320;0
SRR22402315;4
SRR22402363;0
SRR22402328;0
SRR22402366;0
SRR15595323;0
SRR15595275;0
SRR22402351;0
SRR15595287;0
SRR15595334;9
SRR22402362;0
SRR22402357;0
SRR22402334;206
SRR15595325;0
SRR22402373;4
SRR15595322;0
SRR15595328;0
SRR22402294;9
SRR15595318;0
SRR15595327;0
SRR15595299;0
