Sample;Gorilla gorilla gorilla;Odobenus rosmarus divergens;Fragaria vesca subsp. vesca;Cucurbita pepo subsp. pepo;Perognathus longimembris pacificus;Aegilops tauschii subsp. tauschii;Colobus angolensis palliatus;Aquila chrysaetos chrysaetos;Musa acuminata subsp. malaccensis;Canis lupus familiaris;Orycteropus afer afer;Aegilops tauschii subsp. strangulata;Culex pipiens pallens;Terrapene carolina triunguis;Peromyscus maniculatus bairdii;Olea europaea subsp. europaea;Saimiri boliviensis boliviensis;Beta vulgaris subsp. vulgaris;Hordeum vulgare subsp. vulgare;Ceratotherium simum simum;Daucus carota subsp. sativus;Pediculus humanus corporis
SRR15595321;42449;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
SRR22402276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595311;0;0;265;0;0;282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595256;37738;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595269;0;0;0;0;0;552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402364;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402298;2510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402296;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
