Sample;Triticinae;Tripsacinae;Panicinae;Fragariinae;Daucinae;Hordeinae;Loliinae;Lactucinae;Salviinae;Oryzinae;Elaeidinae;Dendrobiinae
SRR15595321;2;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;7;0;0;0;0;0;0;0;0;0;0;0
SRR22402358;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402261;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402276;4;0;0;0;0;0;0;0;6;0;0;0
SRR22402269;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595311;282;0;0;265;0;0;0;0;0;0;0;0
SRR15595256;1;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595269;552;0;0;0;0;0;0;0;0;0;0;0
SRR22402364;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595246;0;9;0;0;0;0;0;0;0;0;0;0
SRR22402346;0;0;0;0;0;0;0;7;0;0;0;0
SRR22402298;20;0;2;0;0;0;0;0;0;0;0;0
SRR22402270;1;0;0;0;0;0;0;0;0;0;0;0
SRR22402296;24;0;0;0;0;0;0;0;0;0;0;0
SRR22402302;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402288;3;0;0;0;0;3;0;11;0;0;0;0
SRR22402284;0;0;0;9;0;0;0;0;0;0;0;0
SRR22402382;10;0;0;0;0;0;0;0;0;0;0;0
SRR15595271;204;0;0;0;0;0;0;0;0;0;0;0
SRR22402329;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595247;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402348;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402283;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595342;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595289;175;0;0;0;0;0;0;0;0;0;0;0
SRR22402278;23;0;0;0;0;0;0;0;0;0;0;0
SRR22402265;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402281;148;0;0;0;0;0;0;0;0;0;0;0
SRR15595324;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402280;0;0;0;0;0;0;0;0;42;0;0;0
SRR22402275;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595337;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595251;18;0;0;0;0;0;0;0;0;0;0;0
SRR22402285;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595352;0;0;0;0;0;0;0;0;0;0;0;0
