Sample;Sarcopterygii;Actinopterygii;Multicrustacea
SRR15595321;24305734;0;0
SRR15595249;452;0;0
SRR22402358;4063;0;5
SRR22402261;13685;7;4
SRR22402276;8533;3;0
SRR22402269;19011;0;17
SRR15595311;24262;3;0
SRR15595256;20674705;0;0
SRR22402370;17055;0;0
SRR15595269;4699;0;3
SRR22402364;15916;0;0
SRR15595246;2085;6;0
SRR22402346;4347;0;32
SRR22402298;1504918;38;0
SRR22402270;12492;7;0
SRR22402296;38783;77;0
SRR22402302;8855;1;0
SRR22402288;35158;0;0
SRR22402284;79946;0;0
SRR22402382;97853;1;0
SRR15595271;1218;2;0
SRR22402329;9140;0;0
SRR15595247;7392690;0;0
SRR22402348;4542;1;0
SRR22402283;136231;3;0
SRR15595342;7715444;0;0
SRR15595289;25165;0;0
SRR22402278;159216;0;0
SRR22402265;383618;0;0
SRR22402281;108412;0;0
SRR15595324;21070306;0;0
SRR22402280;23501;9;0
SRR22402275;33256;0;8
SRR15595337;7903177;0;0
SRR15595251;6951104;0;0
SRR22402285;37397;4;0
SRR15595352;6551769;0;0
SRR22402254;33916;23;0
SRR22402347;8542;0;0
SRR22402277;59630;83;52
SRR22402292;4013;0;0
SRR22402374;13462;0;10
SRR22402377;156327;51;0
SRR22402310;2349;10;0
SRR22402319;12965;0;0
SRR22402264;531330;0;0
SRR22402381;103135;0;0
SRR15595279;3994;32;0
SRR22402368;5180;39;0
SRR22402369;66138;0;0
SRR15595345;8575005;0;0
SRR22402300;1686;0;0
SRR15595245;6268;6;0
SRR22402271;127437;0;0
SRR22402353;29232;0;0
SRR15595317;5656343;0;0
SRR15595293;31795;1;0
SRR22402356;14350;0;0
SRR22402332;78357;1;0
SRR22402295;14462;0;0
SRR15595303;263;0;1
SRR22402379;27331;0;21
SRR22402304;30035;0;0
SRR22402350;10066;0;0
SRR22402268;154870;0;2
SRR22402297;35456;4;0
SRR22402317;1997;23;0
SRR15595353;6715366;0;0
SRR15595257;517;16;0
SRR15595248;7900;0;0
SRR15595305;774;0;0
SRR22402349;3775;0;0
SRR22402273;198718;0;0
SRR15595329;4914259;0;0
SRR22402314;5041;68;0
SRR22402321;4673;42;26
SRR22402322;45673;12;0
SRR22402259;58566;1;0
SRR15595336;17567265;0;0
SRR22402352;12939;0;2
SRR15595253;1935;5;2
SRR22402263;19317;0;0
SRR22402312;13556;0;0
SRR22402335;5105;0;0
SRR22402384;7957;0;0
SRR22402267;48292;0;4
SRR22402293;29795;10;0
SRR15595255;685;0;0
SRR15595335;14347419;0;0
SRR22402371;10942;0;0
SRR22402309;8674;0;36
SRR22402344;85329;63;0
SRR22402306;36480;0;0
SRR15595267;10286;1;0
SRR22402367;17455;0;0
SRR15595347;6212576;0;0
SRR15595254;714;9;0
SRR15595339;12883127;0;0
SRR15595277;688;2;0
SRR22402355;135440;5;12
SRR22402313;314564;0;0
SRR22402365;6428;0;0
SRR22402342;1461;0;6
SRR22402289;206624;0;0
SRR15595315;18477;3;0
SRR15595295;1563;0;0
SRR22402343;130331;0;0
SRR22402320;4182;0;0
SRR15595351;10318566;0;0
SRR15595244;744;1;0
SRR22402326;11235;0;0
SRR22402282;9755;0;0
SRR22402303;192327;0;0
SRR22402354;15502;13;5
SRR22402380;156472;0;0
SRR22402378;3513219;0;0
SRR22402301;43356;0;0
SRR22402333;14990;0;0
SRR15595259;39809;1;0
SRR22402256;3798;2;0
SRR22402272;1594065;0;0
SRR22402260;1572;0;0
SRR22402372;5554;0;0
SRR15595332;13345700;0;0
SRR15595349;8682264;0;0
SRR22402324;2951;0;0
SRR22402279;2554;3;0
SRR15595273;34729;1;0
SRR22402286;77405;0;0
SRR15595331;12662996;0;0
SRR15595291;5798580;0;0
SRR15595330;991;1;0
SRR22402383;1403;0;0
SRR22402262;249798;1;0
SRR22402316;150072;7;0
SRR22402361;5101;0;2
SRR22402266;18819;13;0
SRR22402331;903244;0;0
SRR22402311;51023;0;57
SRR15595343;15767842;0;0
SRR15595252;21566;0;0
SRR15595344;5336452;0;0
SRR22402337;34154;0;0
SRR15595346;8258732;0;0
SRR15595297;784;4;0
SRR22402376;6442;0;0
SRR22402345;2318;0;0
SRR22402257;4409;5;20
SRR15595326;6158190;0;0
SRR22402338;100482;0;0
SRR15595265;906;0;0
SRR15595309;215439;1;0
SRR15595281;65309;0;0
SRR22402307;48580;0;0
SRR22402318;14041;0;0
SRR22402323;26097;20;0
SRR15595263;10443408;0;0
SRR22402299;4495;0;0
SRR22402336;319607;0;0
SRR15595338;7263165;0;0
SRR22402290;19387;0;0
SRR15595283;6237;2;0
SRR22402305;331052;0;0
SRR15595350;1432;1;0
SRR22402341;221747;1;0
SRR22402255;10612;0;23
SRR22402359;293819;0;0
SRR15595301;449;8;0
SRR22402287;7873;0;0
SRR22402325;374782;57;0
SRR15595250;13831;1;0
SRR15595285;2810;2;3
SRR22402258;3799;0;0
SRR15595348;5455660;0;0
SRR22402339;30517;1;0
SRR22402340;47490;0;0
SRR22402375;2874;0;0
SRR22402385;1289352;0;0
SRR22402274;27852;16;0
SRR22402330;382154;0;0
SRR22402327;12508;0;0
SRR15595340;10887348;0;0
SRR22402308;717016;0;0
SRR22402360;582795;0;0
SRR15595261;17349;0;0
SRR15595319;1011;0;0
SRR15595313;621;0;0
SRR15595307;2325;5;0
SRR15595341;1325;0;0
SRR22402291;159470;23;0
SRR15595333;13898373;0;0
SRR15595320;11140729;0;0
SRR22402315;1156;0;0
SRR22402363;713;0;0
SRR22402328;109690;0;0
SRR22402366;22116;7;0
SRR15595323;7277376;0;0
SRR15595275;29800;0;0
SRR22402351;28347;0;0
SRR15595287;5006143;0;0
SRR15595334;14505950;0;0
SRR22402362;103457;0;0
SRR22402357;6991;0;3
SRR22402334;328950;0;0
SRR15595325;46453;0;0
SRR22402373;182088;0;0
SRR15595322;5775655;0;0
SRR15595328;5023872;0;0
SRR22402294;903;1;0
SRR15595318;13036078;0;0
SRR15595327;5701953;0;0
SRR15595299;8571774;0;0
