Sample;Archaea;Bacteria;Eukaryota;Viruses
SRR15595321;132;422689;24535756;1
SRR15595249;323;7727789;541;866
SRR22402358;4;22115840;4274;151057
SRR22402261;23;28980111;14211;572134
SRR22402276;56;153167838;10296;1650699
SRR22402269;5087;38318359;19946;880294
SRR15595311;2808;5514442;40995;3084
SRR15595256;166;365682;20862884;4
SRR22402370;146;27865182;17499;765814
SRR15595269;381;11479865;27862;313
SRR22402364;64;37464470;17886;611217
SRR15595246;2228;12040199;2599;12051
SRR22402346;8;29730107;4915;551304
SRR22402298;16011;34077654;1516538;666445
SRR22402270;360;28913590;13526;784551
SRR22402296;6148;51416392;40349;795552
SRR22402302;2;55772842;9313;3091375
SRR22402288;37;33443988;37884;853125
SRR22402284;11;31628411;80684;395671
SRR22402382;558126;23254532;99258;1094399
SRR15595271;254;14734358;1561;2866
SRR22402329;484;16972161;9438;267200
SRR15595247;49;163796;7477195;2
SRR22402348;6;33004018;4737;360269
SRR22402283;6;54946836;138700;1206878
SRR15595342;111;173833;7809677;12
SRR15595289;1061;7782473;25927;2951
SRR22402278;66098;23346480;306034;888129
SRR22402265;37643;24468647;386014;536857
SRR22402281;106347;37657445;437963;995783
SRR15595324;201;565654;21268999;56
SRR22402280;63889;47511886;28569;1319995
SRR22402275;32;29371857;33968;2236758
SRR15595337;0;186015;7986306;2
SRR15595251;45;206140;7041380;13
SRR22402285;345;54049001;39378;999353
SRR15595352;35;129315;6621183;1
SRR22402254;64668;24200056;35282;2744261
SRR22402347;26;21334324;12038;644115
SRR22402277;74797;44214062;70761;1440449
SRR22402292;0;31039950;4143;160667
SRR22402374;6757;47342509;15648;739172
SRR22402377;137;33543007;162005;688034
SRR22402310;60;36400265;3454;595739
SRR22402319;27135;31419911;14632;736334
SRR22402264;120;39235923;537206;2016848
SRR22402381;12566;28973487;103887;337518
SRR15595279;94168;15484316;5105;12163
SRR22402368;2;69044228;5424;703595
SRR22402369;12;35256587;66767;1639617
SRR15595345;141;234646;8660152;7
SRR22402300;25325;29259152;2649;655936
SRR15595245;697;14105996;8305;3184
SRR22402271;44699;44900865;131961;1493738
SRR22402353;46676;30055740;39207;907984
SRR15595317;75;155967;5718185;3
SRR15595293;164;6575495;34071;3384
SRR22402356;581;23692161;14964;190645
SRR22402332;45;49461195;79061;622697
SRR22402295;65044;22501175;18710;1035906
SRR15595303;10248;10806586;473;878
SRR22402379;322;37997698;37548;126494
SRR22402304;13;24879847;36803;343661
SRR22402350;118216;38434624;11125;924363
SRR22402268;24;30567619;160624;818934
SRR22402297;66;53271384;36579;1565722
SRR22402317;30453;21489352;3027;535197
SRR15595353;15;129258;6790508;4
SRR15595257;58471;13333036;739;9372
SRR15595248;262;6466470;8317;4157
SRR15595305;15141;5213824;974;36871
SRR22402349;32;32202789;4082;170748
SRR22402273;252;90878462;200810;1326371
SRR15595329;34;78793;4969454;6
SRR22402314;35510;37063241;6747;646902
SRR22402321;105;55689675;6159;970360
SRR22402322;84186;30611836;49439;1412136
SRR22402259;50419;25463005;65346;753207
SRR15595336;189;422651;17780289;13
SRR22402352;38;44510747;13547;336130
SRR15595253;848;23087872;55255;3493
SRR22402263;53;20441042;20146;652062
SRR22402312;3;26443097;16216;671044
SRR22402335;17;22471242;5474;619382
SRR22402384;0;28372176;8693;306288
SRR22402267;19;55247850;50237;907348
SRR22402293;19;26829135;30531;285929
SRR15595255;1000;17833659;1268;25757
SRR15595335;186;480607;14516338;13
SRR22402371;0;6525763;11229;22643
