Sample;Euarchontoglires;Galloanserae;Characiphysae;Laurasiatheria;Peracarida;Batrachia;Eucarida;Cypriniphysae;Ceratodontae;Psocodea;Cichlomorphae;Galeoidea;Amphiesmenoptera;Xenarthra;Octopodiformes;Neuropterida;Afrotheria;Parasitiformes;Palaeognathae;Imparidentia;Atherinomorphae;Batoidea
SRR15595321;24016250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402358;4019;0;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402261;13542;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402276;8197;0;0;68;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402269;18743;0;0;9;0;0;17;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
SRR15595311;23937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595256;20449468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;16860;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595269;4571;9;0;37;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402364;15676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595246;2045;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402346;4242;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402298;1489707;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402270;12048;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402296;38281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402302;8726;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
SRR22402288;34440;3;0;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402284;79206;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402382;96690;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
